OBJECTID_1,OBJECTID,TRACT,BLKGRP,GEOID,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
1,1,000100,4,110010001004,1,287.26,166.02,92.93,55.97518371,5.89,3.54776533,31.54,18.99771112,67.01,40.36260691,17.43,10.49873509,9.74,5.86676304,8.3,4.99939766,121.25,42.20747438,0.17,0.1023973,92.93,55.97518371,4.23,2.5478858,20.56,12.38405011,16.33,9.83616432,48.41,29.15913745,52.56,31.65883628,0.17,0.1023973,3.97,2.39127816,121.21,42.2,90.59,55.32889513,90.53,54.20958084,0.64628858,1.76560287,12511829.1961911,21554.2446298816
2,2,000201,1,110010002011,2,133.35,133.34,39.42,29.56352182,19.01,14.25678716,29.47,22.10139493,74.91,56.17969102,17.03,12.77186141,11.17,8.37708115,17.24,12.92935353,0.01,0.01000658,0,0,39.42,29.56352182,15.25,11.43692815,36.14,27.10364482,20.89,15.66671666,46.37,34.77576121,57.77,43.32533373,0,0,11.4,8.54957252,0.01,0.01,36.01,27.00614969,35.17,26.37618119,2.55737213,3.18734063,5807664.72050936,10661.9385897218
3,3,000202,1,110010002021,3,47.44,47.44,15.31,32.27234401,3.78,7.96795953,12.79,26.96037099,28.35,59.75969646,8.42,17.74873524,2.42,5.10118044,4.72,9.94940978,0,0,0,0,15.31,32.27234401,3.71,7.82040472,10.18,21.45868465,6.47,13.63827993,21.21,44.70910624,21.95,46.26897133,0,0,0.75,1.58094435,0,0,14.02,29.54066582,13.63,28.7189212,2.73167819,3.55342282,2066792.9654778,8808.71144998894
4,4,000202,2,110010002022,4,33.48,33.48,11.52,34.40860215,2.86,8.54241338,8.84,26.40382318,19.01,56.78016726,4.51,13.47072879,1.92,5.73476703,3.74,11.17084827,0,0,0.1,0.29868578,11.52,34.40860215,2.75,8.21385902,7.6,22.70011947,4.85,14.48626045,13.34,39.84468339,14.36,42.89127838,0,0,1.02,3.04659498,0,0,10.7,31.94029851,10.04,29.97014925,2.46830364,4.4384529,1458942.50630197,4940.84563957025
5,5,000202,3,110010002023,5,38.17,38.17,9.17,24.0241027,1.68,4.40136233,13.59,35.60387739,27.32,71.57453498,7.17,18.78438564,2.76,7.23080954,3.8,9.95546241,0,0,0,0,9.17,24.0241027,1.67,4.37516374,8.18,21.43044276,6.52,17.0814776,20.76,54.38826303,20.82,54.54545455,0,0,0.06,0.15719151,0,0,8.95,23.44773382,8.62,22.58318051,0.57636888,1.44092219,1662652.05562864,5300.31661129301
6,6,000600,1,110010006001,6,53.1,53.1,36.48,68.70056497,3.76,7.08097928,5.67,10.6779661,12.84,24.18079096,4.46,8.3992467,0.64,1.20527307,2.08,3.91713748,0,0,0.01,0.01883239,36.48,68.70056497,3.74,7.0433145,6.42,12.09039548,2.69,5.06591337,10.12,19.05838041,10.2,19.20903955,0.01,0.01883239,0.07,0.13182674,0,0,33.6,63.27683616,28.81,54.25612053,5.42372881,14.44444444,2312922.38241251,6943.86819859328
17,17,000202,4,110010002024,17,185.98,83.27,28.71,34.47820343,6.46,7.757896,19.39,23.28569713,48.1,57.76390056,15.73,18.89035667,7.22,8.67058965,5.76,6.91725712,102.71,55.22558014,0,0,28.71,34.47820343,4.19,5.03182419,15.49,18.60213762,11.31,13.58232257,34.75,41.7317161,39.07,46.91965894,0,0,4.32,5.18794284,102.7,55.22,25.53,31.5029615,26.58,31.82090267,2.97524193,2.65730076,8099078.31399759,14648.3892160026
18,18,000300,1,110010003001,18,61.81,61.81,21.39,34.6060508,10.14,16.40511244,12.47,20.17472901,30.27,48.97265815,10.08,16.30804077,1.99,3.21954376,5.74,9.28652322,0,0,0,0,21.39,34.6060508,10.09,16.32421938,17.47,28.26403495,7.39,11.95599418,22.55,36.48276978,22.95,37.12991425,0,0,0.39,0.63096586,0,0,20.17,32.64282246,18.71,30.27998058,1.96322834,4.32607022,2691791.95638615,8557.08023757319
19,19,000300,2,110010003002,19,29.41,29.41,11.62,39.51037062,5.4,18.36110167,6.35,21.59129548,12.36,42.02652159,3.65,12.41074464,1.09,3.70622237,1.27,4.3182591,0,0,0.04,0.13600816,11.62,39.51037062,5.4,18.36110167,7.76,26.38558314,2.36,8.02448147,10,34.00204012,10.04,34.13804828,0.04,0.13600816,0,0,0,0,9.62,32.7099626,8.96,30.46582795,6.80040802,9.04454267,1280874.52768932,4562.17920981008
20,20,000300,3,110010003003,20,120.95,120.52,75.95,63.01858613,14.49,12.02290076,15.06,12.49585131,29.92,24.82575506,8.6,7.1357451,1.26,1.04546963,5,4.14868901,0.42,0.350389,0.15,0.12446067,75.95,63.01858613,12.53,10.39661467,18,14.93528045,5.47,4.53866578,23.66,19.63159642,26.57,22.04613342,0.15,0.12446067,2.76,2.29007634,0.42,0.35,69.62,57.78552457,63.27,52.53238127,5.23306156,10.48620486,5268112.66092474,11267.3817935636
