,census_bg,Total Area in acres,Total Land Area in acres,Tree Canopy in acres,Tree Canopy area in percent,Vegetation in acres,Vegetation Percentage,Building area in acres,Building area in percent,Total Impervious Area in acres,Total Impervious Area in percent,Road Acres,Road Area in percent,Sidewalk Area in acres,Sidewalk Area in percent,Other Impervious Area in acres,Other Impervious Area in percent,Surface Water Area in acres,Surface Water Area in percent,Soil area in acres,Soil area in percent,Urban Tree Canopy area in acres,Urban Tree Canopy area percent,Possible Vegetation Planting Area in acres,Possible Vegetation Planting Area in percent,Total Possible Planting Area in acres,Total Possible Planting Area in percent,Impervious Possible Planting Area in acres,Impervious Possible Planting Area in percent,Unsuitable Impervious Planting Buildings and Roads Area in acres,Unsuitable Impervious Planting Buildings and Roads Area in percent,Total Unsuitable Planting Area in acres,Total Unsuitable Planting Area in percent,Unsuitable Soil and Vegetation Area in acres,Unsuitable Soil and Vegetation Area in percent,Unsuitable Other Land Area in acres,Unsuitable Other Land Area in percent,SHAPEAREA,SHAPELEN,Geographic Area Name,Income in the past 12 months below poverty level,Median household income in the past 12 months,Total Population,Total Population of one race,Total White Population,Total African American Population,Total American Indian Population,Total Asian Population,Total Native Hawaiian Population,Total Population of Other Races
103,110010019022,113.96,113.96,28.2,24.74552475,29.31,25.71955072,19.75,17.33064233,56.45,49.53492453,22.65,19.87539488,4.87,4.27342927,9.18,8.05545806,0.0,0.0,0.0,0.0,28.2,24.74552475,23.74,20.83187083,33.45,29.35240435,9.71,8.52053352,42.39,37.197262200000004,52.32,45.91084591,0.0,0.0,9.92,8.7048087,4963927.99179056,9996.287503814721,"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia",5,62125,790.0,718.0,201.0,408.0,3.0,32.0,2.0,72.0
104,110010020011,33.46,33.46,10.64,31.79916318,4.5,13.448894199999998,6.94,20.741183499999998,18.32,54.75194262,6.35,18.97788404,1.74,5.20023909,3.29,9.83263598,0.0,0.0,0.0,0.0,10.64,31.79916318,4.48,13.38912134,9.1,27.19665272,4.62,13.80753138,13.29,39.71906754,13.72,41.0041841,0.0,0.0,0.43,1.28511656,1457401.44140173,5898.7948029871395,"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia",56,54167,1631.0,1490.0,223.0,556.0,28.0,44.0,0.0,639.0
105,110010020012,122.93,122.78,58.14,47.35298909,24.46,19.92181137,14.93,12.15996091,40.18,32.72519954,14.59,11.88304284,2.2,1.79182277,8.46,6.89037302,0.16,0.12844273,0.0,0.0,58.14,47.35298909,24.46,19.92181137,35.07,28.56328392,10.61,8.64147255,29.52,24.04300375,29.57,24.08372699,0.0,0.0,0.05,0.04072324,5354549.04253882,12155.624488949099,"Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia",0,128452,1295.0,1089.0,446.0,486.0,14.0,27.0,0.0,116.0
106,110010020021,84.89,84.89,26.5,31.21686889,15.44,18.18824361,15.24,17.952644600000003,42.85,50.477088,16.03,18.88326069,3.27,3.85204382,8.31,9.78913889,0.0,0.0,0.1,0.11779951,26.5,31.21686889,14.94,17.59924608,26.31,30.99304983,11.37,13.39380375,31.27,36.83590529,32.07,37.77830133,0.1,0.11779951,0.71,0.83637649,3697236.90382023,11762.9139693826,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",6,237917,1092.0,949.0,352.0,475.0,19.0,30.0,0.0,73.0
107,110010041001,24.92,24.92,4.95,19.8635634,1.54,6.17977528,8.74,35.07223114,18.44,73.99678973,4.95,19.8635634,1.3,5.21669342,3.44,13.80417335,0.0,0.0,0.0,0.0,4.95,19.8635634,1.52,6.09951846,6.07,24.35794543,4.55,18.25842697,13.69,54.93579454,13.9,55.77849117,0.0,0.0,0.21,0.84269663,1085503.7835687,4335.9911525794205,"Block Group 1, Census Tract 41, District of Columbia, District of Columbia",0,133625,1237.0,1133.0,958.0,53.0,0.0,98.0,0.0,24.0
108,110010041002,75.06,74.1,41.53,56.04588394,4.81,6.49122807,10.47,14.12955466,27.76,37.46288799,8.02,10.82321188,1.76,2.37516869,7.5,10.12145749,0.96,1.27572016,0.0,0.0,41.53,56.04588394,4.73,6.38326586,13.31,17.96221323,8.59,11.59244265,18.42,24.858299600000002,19.26,25.99190283,0.0,0.0,0.83,1.12010796,3269312.4011375997,9135.70244163779,"Block Group 2, Census Tract 41, District of Columbia, District of Columbia",0,143095,727.0,658.0,523.0,27.0,0.0,80.0,0.0,28.0
109,110010021021,41.26,41.26,11.66,28.2598158,9.03,21.88560349,8.16,19.77702375,20.57,49.85458071,7.52,18.22588463,1.41,3.41735337,3.48,8.43431895,0.0,0.0,0.0,0.0,11.66,28.2598158,9.03,21.88560349,13.92,33.73727581,4.89,11.85167232,15.68,38.00290839,15.68,38.00290839,0.0,0.0,0.0,0.0,1797133.27109086,7810.050257478629,"Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia",12,130658,1030.0,914.0,202.0,582.0,12.0,22.0,0.0,96.0
110,110010021022,33.12,33.12,8.19,24.72826087,7.13,21.52777778,7.24,21.85990338,17.8,53.74396135,6.63,20.01811594,1.38,4.16666667,2.55,7.69927536,0.0,0.0,0.0,0.0,8.19,24.72826087,6.88,20.77294686,10.8,32.60869565,3.92,11.83574879,13.87,41.87801932,14.14,42.69323672,0.0,0.0,0.27,0.81521739,1442568.95768799,5632.6720033551,"Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia",37,79615,904.0,818.0,140.0,563.0,11.0,14.0,0.0,90.0
111,110010021023,24.23,24.23,4.69,19.35617004,4.65,19.19108543,6.68,27.56912918,14.89,61.45274453,4.63,19.10854313,1.21,4.99380933,2.38,9.82253405,0.0,0.0,0.0,0.0,4.69,19.35617004,4.65,19.19108543,8.2,33.84234420000001,3.55,14.65125877,11.3,46.63640116,11.33,46.76021461,0.0,0.0,0.03,0.12381345,1055551.6859365,4849.08885241999,"Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia",0,94605,804.0,718.0,122.0,444.0,4.0,26.0,0.0,122.0
112,110010021024,31.45,31.45,6.76,21.49443561,7.22,22.95707472,6.88,21.87599364,17.48,55.58028617,6.09,19.36406995,1.5,4.76947536,3.01,9.57074722,0.0,0.0,0.0,0.0,6.76,21.49443561,4.95,15.73926868,9.07,28.83942766,4.12,13.10015898,12.96,41.20826709,15.62,49.66613673,0.0,0.0,2.66,8.45786963,1369733.61220846,5447.70339312704,"Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia",43,112566,712.0,648.0,151.0,411.0,3.0,8.0,0.0,75.0
113,110010021025,20.08,20.08,4.81,23.95418327,3.68,18.32669323,4.92,24.50199203,11.6,57.7689243,3.78,18.8247012,0.75,3.73505976,2.14,10.65737052,0.0,0.0,0.0,0.0,4.81,23.95418327,3.68,18.32669323,6.57,32.71912351,2.89,14.39243028,8.58,42.72908367,8.71,43.37649402,0.0,0.0,0.13,0.64741036,874818.06793317,3777.3305089685296,"Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia",0,62167,651.0,592.0,126.0,309.0,12.0,6.0,0.0,139.0
114,110010021026,29.24,29.24,5.84,19.97264022,5.03,17.20246238,7.65,26.162790700000002,18.36,62.79069767,5.87,20.075239399999997,1.29,4.41176471,3.55,12.14090287,0.0,0.0,0.0,0.0,5.84,19.97264022,4.96,16.963064300000003,9.8,33.51573187,4.83,16.51846785,13.52,46.2380301,13.6,46.51162791,0.0,0.0,0.08,0.27359781,1273296.32539406,4598.22169583961,"Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia",39,62557,998.0,909.0,160.0,601.0,8.0,11.0,0.0,129.0
115,110010022011,35.71,35.71,7.09,19.85438253,5.86,16.4099692,9.87,27.63931672,22.75,63.70764492,6.7,18.76225147,1.3,3.64043685,4.88,13.66563988,0.0,0.0,0.01,0.02800336,7.09,19.85438253,5.86,16.4099692,12.04,33.71604593,6.18,17.30607673,16.57,46.40156819,16.57,46.40156819,0.01,0.02800336,0.0,0.0,1555450.46924296,4994.6282499424,"Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia",0,109022,1305.0,1178.0,388.0,648.0,7.0,38.0,2.0,95.0
116,110010022012,43.08,43.08,12.06,27.99442897,6.63,15.38997214,9.91,23.00371402,24.39,56.61559889,7.16,16.62024141,1.56,3.62116992,5.75,13.34726091,0.0,0.0,0.0,0.0,12.06,27.99442897,6.11,14.18291551,13.16,30.54781801,7.05,16.36490251,16.85,39.11327762,17.86,41.45775302,0.0,0.0,1.0,2.32126277,1876481.10818565,6274.516541211129,"Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia",14,66948,1324.0,1182.0,419.0,556.0,11.0,34.0,0.0,162.0
117,110010022013,23.8,23.8,4.02,16.8907563,2.9,12.18487395,6.54,27.478991600000004,16.87,70.88235294,5.79,24.32773109,1.23,5.16806723,3.31,13.90756303,0.0,0.0,0.0,0.0,4.02,16.8907563,2.9,12.18487395,7.44,31.260504200000003,4.54,19.07563025,12.33,51.80672269,12.33,51.80672269,0.0,0.0,0.0,0.0,1036457.78079065,4079.5834339614503,"Block Group 3, Census Tract 22.01, District of Columbia, District of Columbia",0,85903,856.0,778.0,166.0,518.0,3.0,22.0,0.0,69.0
118,110010022021,121.57,121.57,44.37,36.49749116,47.64,39.1872995,9.41,7.74039648,29.47,24.24117792,14.54,11.96018755,2.46,2.02352554,3.06,2.51706836,0.0,0.0,0.1,0.08225714,44.37,36.49749116,47.59,39.14617093,53.05,43.63741055,5.47,4.49946533,23.95,19.70058403,24.16,19.87332401,0.1,0.08225714,0.11,0.09048285,5295479.15842128,9412.45216245695,"Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia",0,55495,1613.0,1416.0,229.0,777.0,17.0,24.0,2.0,367.0
119,110010022022,24.33,24.33,5.81,23.87998356,4.25,17.46814632,6.01,24.70201397,14.24,58.52856556,4.19,17.2215372,1.3,5.3431977,2.74,11.26181669,0.0,0.0,0.03,0.12330456,5.81,23.87998356,4.22,17.34484176,8.02,32.96341965,3.8,15.61857789,10.2,41.92355117,10.5,43.15659679,0.03,0.12330456,0.27,1.10974106,1059963.70122332,4186.52044894068,"Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia",25,76146,832.0,745.0,184.0,418.0,16.0,11.0,1.0,115.0
120,110010022023,25.95,25.95,5.12,19.73025048,4.12,15.87668593,7.25,27.93834297,16.71,64.39306358,5.0,19.26782274,0.91,3.50674374,3.56,13.71868979,0.0,0.0,0.0,0.0,5.12,19.73025048,4.12,15.87668593,8.58,33.06358382,4.46,17.18689788,12.23,47.12909441,12.25,47.2061657,0.0,0.0,0.02,0.07707129,1130364.51090026,4256.11808789337,"Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia",0,65125,894.0,796.0,206.0,441.0,15.0,22.0,0.0,112.0
121,110010056003,15.13,15.13,1.9,12.55783212,0.59,3.89953734,6.0,39.65631196,12.64,83.54263054,4.55,30.07270324,0.52,3.43688037,1.57,10.37673496,0.0,0.0,0.0,0.0,1.9,12.55783212,0.59,3.89953734,2.68,17.71315268,2.09,13.81361533,10.54,69.66292135,10.55,69.7290152,0.0,0.0,0.01,0.06609385,659208.721355386,3510.6151163284303,"Block Group 3, Census Tract 56, District of Columbia, District of Columbia",0,100202,,,,,,,,
122,110010056004,21.66,21.66,3.75,17.31301939,0.57,2.63157895,7.67,35.41089566,17.33,80.00923361,5.54,25.57710065,2.13,9.83379501,1.99,9.18744229,0.0,0.0,0.0,0.0,3.75,17.31301939,0.57,2.63157895,4.67,21.56048015,4.1,18.9289012,13.17,60.803324100000005,13.24,61.12650046,0.0,0.0,0.06,0.27700831,943480.5829850229,3868.1028197770793,"Block Group 4, Census Tract 56, District of Columbia, District of Columbia",15,54971,,,,,,,,
123,110010058001,167.49,167.49,10.73,6.40635262,1.56,0.93139889,80.56,48.09839393,155.12,92.61448445,46.58,27.81061556,23.92,14.28144964,4.07,2.42999582,0.0,0.0,0.08,0.04776405,10.73,6.40635262,0.95,0.56719804,27.8,16.59800585,26.85,16.03080781,126.63,75.6045137,128.96,76.99564153,0.08,0.04776405,2.25,1.34336378,7295607.07140138,11937.511404473798,"Block Group 1, Census Tract 58, District of Columbia, District of Columbia",0,161667,,,,,,,,
124,110010058002,57.56,57.56,4.23,7.34885337,0.59,1.02501737,28.37,49.28769979,52.75,91.64350243,14.48,25.15635858,6.77,11.76164003,3.12,5.42043085,0.0,0.0,0.0,0.0,4.23,7.34885337,0.37,0.64280751,10.19,17.70326616,9.82,17.06045865,42.76,74.28769979,43.15,74.96525365,0.0,0.0,0.39,0.67755386,2507183.01388081,7964.991346421941,"Block Group 2, Census Tract 58, District of Columbia, District of Columbia",61,122692,,,,,,,,
125,110010059001,159.1,159.1,18.66,11.72847266,7.24,4.55059711,55.45,34.85229415,133.06,83.63293526,44.01,27.66184789,21.74,13.66436204,11.86,7.45443118,0.0,0.0,0.14,0.08799497,18.66,11.72847266,6.97,4.38089252,39.68,24.94028913,32.72,20.56568196,99.24,62.37586424,100.76,63.33123822,0.12,0.07542426,1.4,0.87994972,6930058.91453716,11080.594538247,"Block Group 1, Census Tract 59, District of Columbia, District of Columbia",5,98750,1339.0,1245.0,817.0,255.0,4.0,143.0,0.0,26.0
126,110010062021,2821.51,1623.8,498.79,30.71745289,475.92,29.30902821,152.06,9.36445375,636.85,39.21973149,263.53,16.22921542,136.85,8.42776204,84.41,5.19830028,1197.71,42.4493352,12.24,0.75378741,498.79,30.71745289,228.09,14.04668063,378.79,23.32738022,150.7,9.28069959,375.52,23.12600074,753.12,46.38009607,2.79,0.17181919,374.81,23.08227614,122896796.636387,88779.5844005633,"Block Group 1, Census Tract 62.02, District of Columbia, District of Columbia",0,94605,,,,,,,,
127,110010064001,41.57,41.57,12.51,30.09381766,5.36,12.89391388,8.1,19.48520568,23.13,55.64108732,9.4,22.61246091,2.48,5.96584075,3.14,7.55352418,0.0,0.0,0.56,1.34712533,12.51,30.09381766,3.01,7.24079865,7.57,18.21024777,4.56,10.96944912,17.04,40.99109935,21.48,51.67187876,0.36,0.86600914,4.09,9.83882608,1810489.62888211,5376.95354427645,"Block Group 1, Census Tract 64, District of Columbia, District of Columbia",130,29398,1637.0,1547.0,468.0,1022.0,6.0,25.0,2.0,24.0
128,110010064002,184.92,129.04,18.74,14.52262864,14.73,11.4150651,23.17,17.95567266,94.6,73.31060136,41.72,32.33106014,4.51,3.4950403,25.2,19.52882827,55.88,30.21826919,0.98,0.75945443,18.74,14.52262864,12.2,9.45443273,40.89,31.68784873,28.69,22.233416000000002,62.14,48.15561066,69.52,53.87476751,0.28,0.21698698,7.1,5.50216987,8054728.54308986,12407.998441689098,"Block Group 2, Census Tract 64, District of Columbia, District of Columbia",137,31198,844.0,797.0,141.0,624.0,15.0,8.0,0.0,9.0
129,110010065001,35.91,35.91,9.73,27.09551657,2.02,5.62517405,11.19,31.16123642,24.15,67.25146199,7.72,21.49818992,2.45,6.82261209,2.79,7.76942356,0.0,0.0,0.0,0.0,9.73,27.09551657,1.61,4.4834308,6.37,17.73879142,4.77,13.28320802,18.7,52.07463102,19.8,55.13784461,0.0,0.0,1.1,3.06321359,1563843.8968525,7159.788090313141,"Block Group 1, Census Tract 65, District of Columbia, District of Columbia",39,126914,963.0,891.0,764.0,48.0,0.0,61.0,2.0,16.0
130,110010065002,86.67,86.67,27.29,31.48725049,8.6,9.92269528,15.79,18.21853006,50.47,58.23237568,20.93,24.14907119,4.21,4.85750548,9.54,11.00726895,0.0,0.0,0.32,0.36921657,27.29,31.48725049,7.16,8.26122072,19.43,22.41836852,12.27,14.1571478,36.68,42.32144918,39.96,46.105919,0.23,0.26537441,3.04,3.5075574,3775291.53550739,10065.2247321796,"Block Group 2, Census Tract 65, District of Columbia, District of Columbia",9,180313,1646.0,1524.0,1338.0,65.0,0.0,97.0,6.0,18.0
131,110010066001,73.2,73.2,22.28,30.43715847,4.12,5.6284152999999995,21.09,28.81147541,46.8,63.93442623,15.64,21.36612022,4.53,6.18852459,5.55,7.58196721,0.0,0.0,0.0,0.0,22.28,30.43715847,3.79,5.17759563,13.44,18.36065574,9.65,13.18306011,35.86,48.98907104,37.48,51.20218579,0.0,0.0,1.62,2.21311475,3188373.89833422,8737.64086425908,"Block Group 1, Census Tract 66, District of Columbia, District of Columbia",0,115417,1283.0,1183.0,1061.0,32.0,12.0,56.0,3.0,19.0
132,110010067001,36.0,36.0,12.59,34.97222222,3.1,8.61111111,9.14,25.38888889,20.15,55.97222222,6.65,18.47222222,1.34,3.72222222,3.03,8.41666667,0.0,0.0,0.16,0.44444444,12.59,34.97222222,3.1,8.61111111,7.46,20.72222222,4.37,12.13888889,15.79,43.86111111,15.95,44.30555556,0.16,0.44444444,0.0,0.0,1568184.96307097,5091.53597062795,"Block Group 1, Census Tract 67, District of Columbia, District of Columbia",0,119929,1250.0,1138.0,895.0,171.0,0.0,50.0,2.0,20.0
133,110010067002,28.37,28.37,11.0,38.77335213,1.63,5.74550582,7.71,27.17659499,15.74,55.48114205,4.77,16.81353542,0.92,3.24286218,2.33,8.21290095,0.0,0.0,0.0,0.0,11.0,38.77335213,1.63,5.74550582,4.89,17.23651745,3.25,11.45576313,12.49,44.02537892,12.49,44.02537892,0.0,0.0,0.0,0.0,1235907.54791274,4578.3683482488295,"Block Group 2, Census Tract 67, District of Columbia, District of Columbia",0,165052,1171.0,1057.0,923.0,66.0,4.0,52.0,0.0,12.0
134,110010067003,41.46,41.46,16.97,40.93101785,2.45,5.90931018,11.3,27.25518572,22.04,53.15967197,6.09,14.68885673,1.25,3.01495417,3.4,8.20067535,0.0,0.0,0.0,0.0,16.97,40.93101785,2.44,5.88519055,7.05,17.00434153,4.61,11.11915099,17.39,41.94404245,17.44,42.06464062,0.0,0.0,0.06,0.14471779999999998,1805732.42117429,5596.5966972675,"Block Group 3, Census Tract 67, District of Columbia, District of Columbia",0,220556,1506.0,1366.0,1226.0,61.0,2.0,55.0,1.0,21.0
135,110010068011,38.02,38.02,8.16,21.46238822,4.91,12.91425565,9.94,26.14413467,24.94,65.59705418,7.72,20.30510258,1.36,3.5770647000000007,5.92,15.57075224,0.0,0.0,0.0,0.0,8.16,21.46238822,4.91,12.91425565,12.19,32.06207259,7.28,19.14781694,17.66,46.44923724,17.66,46.44923724,0.0,0.0,0.0,0.0,1655891.01057117,5441.79541578903,"Block Group 1, Census Tract 68.01, District of Columbia, District of Columbia",5,113600,1497.0,1400.0,790.0,523.0,0.0,59.0,1.0,27.0
136,110010023011,44.87,44.87,13.12,29.24002674,7.32,16.31379541,9.69,21.59572097,24.39,54.35703142,8.31,18.52016938,1.65,3.67728995,4.75,10.58613773,0.0,0.0,0.04,0.08914642,13.12,29.24002674,6.51,14.50858034,12.51,27.88054379,5.99,13.34967684,17.8,39.67015823,19.25,42.90171607,0.01,0.02228661,1.44,3.20927123,1954288.8938229,7824.805377828159,"Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia",0,170370,1270.0,1125.0,445.0,511.0,7.0,44.0,1.0,117.0
137,110010023012,57.08,57.08,17.58,30.79887877,8.48,14.85634198,15.31,26.822004200000002,31.02,54.34477926,8.58,15.03153469,1.91,3.3461807999999995,5.22,9.14505957,0.0,0.0,0.01,0.01751927,17.58,30.79887877,8.47,14.83882271,15.6,27.33006307,7.13,12.49124036,23.89,41.85353889,23.91,41.88857744,0.01,0.01751927,0.01,0.01751927,2486553.30453932,7266.545323743951,"Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia",12,141146,1996.0,1795.0,567.0,944.0,13.0,81.0,0.0,190.0
138,110010023021,497.96,496.16,174.86,35.24266366,149.77,30.18582715,50.05,10.08747178,169.83,34.22887778,91.93,18.52829732,11.31,2.27950661,16.54,3.33360206,1.81,0.36279638,1.71,0.34464689,174.86,35.24266366,124.36,25.06449532,151.47,30.52845856,27.11,5.46396324,141.87,28.59359884,169.84,34.23089326,1.71,0.34464689,26.27,5.29466301,21690410.9898381,19278.6249064957,"Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia",22,57386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,110010024001,24.37,24.37,4.35,17.84981535,3.32,13.62330735,6.55,26.87730817,16.66,68.36274108,5.54,22.73286828,1.48,6.07304062,3.09,12.679524,0.0,0.0,0.04,0.16413623,4.35,17.84981535,3.21,13.1719327,7.74,31.760361100000004,4.53,18.588428399999998,12.09,49.61017645,12.27,50.3487895,0.04,0.16413623,0.15,0.61551087,1061498.49171894,4549.56240403076,"Block Group 1, Census Tract 24, District of Columbia, District of Columbia",14,109094,998.0,909.0,430.0,363.0,9.0,39.0,1.0,67.0
140,110010024002,53.17,53.17,13.31,25.0329133,9.46,17.79198796,10.41,19.5787098,30.3,56.98702276,10.16,19.10851984,2.69,5.05924393,7.05,13.25935678,0.0,0.0,0.1,0.18807598,13.31,25.0329133,8.96,16.85160805,17.19,32.33026143,8.23,15.47865338,20.57,38.68722964,22.67,42.63682528,0.0,0.0,2.1,3.94959564,2316027.0424906,6899.40007786222,"Block Group 2, Census Tract 24, District of Columbia, District of Columbia",0,73239,1172.0,1012.0,387.0,427.0,8.0,35.0,0.0,155.0
141,110010024003,26.72,26.72,6.25,23.39071856,3.43,12.83682635,6.92,25.89820359,17.04,63.77245509,5.45,20.39670659,1.66,6.21257485,3.01,11.26497006,0.0,0.0,0.0,0.0,6.25,23.39071856,3.11,11.63922156,7.11,26.60928144,4.0,14.97005988,12.27,45.92065868,13.36,50.0,0.0,0.0,1.09,4.07934132,1163970.75527949,4838.6412207399,"Block Group 3, Census Tract 24, District of Columbia, District of Columbia",0,156500,779.0,674.0,322.0,261.0,4.0,32.0,0.0,55.0
142,110010024004,33.21,33.21,7.69,23.155676,4.64,13.97169527,8.58,25.83559169,20.89,62.90274014,6.57,19.78319783,1.54,4.63715748,4.19,12.61668172,0.0,0.0,0.0,0.0,7.69,23.155676,4.58,13.791026800000001,10.27,30.92442036,5.69,17.13339356,15.15,45.61878952,15.26,45.95001506,0.0,0.0,0.1,0.30111412,1446497.32158693,5517.9393140844395,"Block Group 4, Census Tract 24, District of Columbia, District of Columbia",12,94211,1146.0,1043.0,414.0,450.0,9.0,42.0,0.0,128.0
143,110010025011,78.01,78.01,15.44,19.79233432,9.12,11.69080887,19.0,24.35585181,53.45,68.51685681,15.75,20.18971927,3.92,5.0249968,14.78,18.94628894,0.0,0.0,0.0,0.0,15.44,19.79233432,8.39,10.75503141,22.6,28.97064479,14.21,18.21561338,34.75,44.54557108,39.97,51.23702089,0.0,0.0,5.22,6.69144981,3398155.15741179,8086.005405657479,"Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia",30,63264,1195.0,1042.0,230.0,602.0,4.0,34.0,0.0,172.0
144,110010025012,56.27,56.27,14.4,25.59090101,7.58,13.47076595,15.48,27.51021859,34.3,60.9561045,9.59,17.04282922,2.26,4.01634974,6.97,12.38670695,0.0,0.0,0.0,0.0,14.4,25.59090101,7.58,13.47076595,16.81,29.87382264,9.23,16.40305669,25.07,44.55304781,25.07,44.55304781,0.0,0.0,0.0,0.0,2451024.03459432,6764.3570740233,"Block Group 2, Census Tract 25.01, District of Columbia, District of Columbia",33,143365,1493.0,1320.0,598.0,498.0,4.0,27.0,0.0,193.0
145,110010025021,34.92,34.92,6.52,18.67124857,2.94,8.41924399,10.95,31.35738832,25.46,72.90950745,9.87,28.26460481,1.19,3.40778923,3.46,9.90836197,0.0,0.0,0.0,0.0,6.52,18.67124857,2.94,8.41924399,7.59,21.73539519,4.65,13.316151199999998,20.82,59.62199313,20.82,59.62199313,0.0,0.0,0.0,0.0,1520868.40347751,4964.30563793464,"Block Group 1, Census Tract 25.02, District of Columbia, District of Columbia",15,49193,,,,,,,,
146,110010025022,37.43,37.43,5.51,14.72081218,4.91,13.11781993,10.78,28.80042746,27.0,72.13465135,7.72,20.62516698,2.46,6.57226823,6.04,16.13678867,0.0,0.0,0.0,0.0,5.51,14.72081218,4.68,12.50333957,11.4,30.45685279,6.72,17.95351322,18.5,49.42559444,20.52,54.82233503,0.0,0.0,2.01,5.37002404,1630339.23712606,5031.72432388739,"Block Group 2, Census Tract 25.02, District of Columbia, District of Columbia",34,91000,,,,,,,,
147,110010025023,37.26,37.26,6.07,16.29092861,5.48,14.70746108,11.07,29.71014493,25.71,69.00161031,6.16,16.5324745,1.46,3.91841116,7.02,18.84057971,0.0,0.0,0.0,0.0,6.07,16.29092861,5.21,13.9828234,13.62,36.55394525,8.41,22.57112185,17.2,46.16210413,17.57,47.15512614,0.0,0.0,0.37,0.99302201,1622684.30847441,5538.641641048779,"Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia",0,138304,,,,,,,,
148,110010025024,39.77,39.77,14.74,37.06311289999999,5.98,15.03645964,7.65,19.23560473,19.05,47.90042746,6.84,17.19889364,1.22,3.06763892,3.35,8.42343475,0.0,0.0,0.0,0.0,14.74,37.06311289999999,5.97,15.01131506,10.39,26.12522002,4.42,11.11390495,14.48,36.40935378,14.65,36.83681167,0.0,0.0,0.16,0.4023133,1732291.02413182,5497.031447287311,"Block Group 4, Census Tract 25.02, District of Columbia, District of Columbia",14,83438,,,,,,,,
149,110010026001,208.15,205.75,165.37,80.37424058,14.37,6.98420413,9.88,4.80194411,26.0,12.63669502,8.78,4.2673147,1.2,0.58323208,6.15,2.9890644,2.4,1.15203845,0.0,0.0,165.37,80.37424058,14.23,6.91616039,21.12,10.26488457,6.88,3.34386391,18.65,9.06439854,19.26,9.36087485,0.0,0.0,0.6,0.29161604,9066144.51300833,16179.645402838301,"Block Group 1, Census Tract 26, District of Columbia, District of Columbia",14,96750,1167.0,1023.0,433.0,332.0,5.0,65.0,1.0,187.0
150,110010026002,339.54,336.88,233.93,69.44015673,35.83,10.63583472,23.3,6.9164094,67.1,19.91807172,24.08,7.14794586,4.74,1.40702921,14.97,4.44371883,2.67,0.78583031,0.02,0.00593683,233.93,69.44015673,29.6,8.78651152,45.98,13.64877701,16.38,4.8622654999999995,46.71,13.86547138,56.96,16.90809784,0.02,0.00593683,10.24,3.03965804,14789325.9379371,22839.9007793995,"Block Group 2, Census Tract 26, District of Columbia, District of Columbia",7,240500,1425.0,1258.0,634.0,503.0,7.0,94.0,0.0,20.0
151,110010027011,8.92,8.92,1.89,21.18834081,0.8,8.96860987,2.8,31.39013453,6.22,69.7309417,1.88,21.07623318,0.35,3.92376682,1.19,13.34080717,0.0,0.0,0.0,0.0,1.89,21.18834081,0.8,8.96860987,2.35,26.34529148,1.54,17.26457399,4.68,52.46636771,4.68,52.46636771,0.0,0.0,0.0,0.0,388237.181957226,2685.51440119565,"Block Group 1, Census Tract 27.01, District of Columbia, District of Columbia",0,103984,,,,,,,,
152,110010027012,31.23,31.23,10.01,32.05251361,2.46,7.87704131,9.16,29.33077169,18.76,60.07044508,4.63,14.82548831,1.29,4.13064361,3.68,11.78354147,0.0,0.0,0.0,0.0,10.01,32.05251361,2.44,7.81300032,7.38,23.63112392,4.93,15.78610311,13.79,44.15626001,13.84,44.31636247,0.0,0.0,0.05,0.16010247,1360161.27388059,5714.5700575006895,"Block Group 2, Census Tract 27.01, District of Columbia, District of Columbia",60,69345,,,,,,,,
153,110010027013,57.36,57.36,41.39,72.15829847,1.9,3.31241283,6.78,11.82008368,14.07,24.5292887,3.39,5.91004184,0.62,1.08089261,3.28,5.71827057,0.0,0.0,0.0,0.0,41.39,72.15829847,1.88,3.27754533,5.14,8.9609484,3.26,5.68340307,10.16,17.71269177,10.83,18.88075314,0.0,0.0,0.67,1.16806137,2498323.39200179,8885.89353401212,"Block Group 3, Census Tract 27.01, District of Columbia, District of Columbia",0,137381,,,,,,,,
